time,result
2025-04-29 23:55:06.829039+00:00,-1.595
2025-04-29 23:49:59.391218+00:00,-1.657
2025-04-29 23:39:42.345197+00:00,-1.776
2025-04-29 23:34:33.795148+00:00,-1.839
2025-04-29 23:29:25.395409+00:00,-1.906
2025-04-29 23:24:16.781681+00:00,-1.969
2025-04-29 23:19:08.298799+00:00,-2.042
2025-04-29 23:13:59.795153+00:00,-2.113
2025-04-29 23:08:51.364136+00:00,-2.178
2025-04-29 23:03:42.758257+00:00,-2.249
2025-04-29 22:58:34.073867+00:00,-2.315
2025-04-29 22:48:16.744327+00:00,-2.451
2025-04-29 22:43:08.174336+00:00,-2.529
2025-04-29 22:38:00.575863+00:00,-2.612
2025-04-29 22:32:52.036728+00:00,-2.703
2025-04-29 22:27:43.403412+00:00,-2.802
2025-04-29 22:22:34.768611+00:00,-2.905
2025-04-29 22:17:26.073529+00:00,-2.998
2025-04-29 22:12:17.539677+00:00,-3.063
2025-04-29 22:07:08.834475+00:00,-3.114
2025-04-29 22:02:00.280838+00:00,-3.133
2025-04-29 21:56:51.639554+00:00,-3.133
2025-04-29 21:51:43.124481+00:00,-3.131
2025-04-29 21:46:34.487735+00:00,-3.126
2025-04-29 21:41:25.799837+00:00,-3.126
2025-04-29 21:36:17.222559+00:00,-3.122
2025-04-29 21:31:08.615282+00:00,-3.122
2025-04-29 21:26:00.065749+00:00,-3.116
2025-04-29 21:20:51.367798+00:00,-3.112
2025-04-29 21:15:42.855663+00:00,-3.111
2025-04-29 21:10:34.442299+00:00,-3.106
2025-04-29 21:05:25.904046+00:00,-3.105
2025-04-29 21:00:17.335712+00:00,-3.099
2025-04-29 20:55:09.691571+00:00,-3.093
2025-04-29 20:50:01.129998+00:00,-3.086
2025-04-29 20:44:52.547197+00:00,-3.083
2025-04-29 20:39:43.894247+00:00,-3.078
2025-04-29 20:34:35.326999+00:00,-3.074
2025-04-29 20:29:26.700275+00:00,-3.062
2025-04-29 20:24:11.645271+00:00,-3.057
2025-04-29 20:19:02.464368+00:00,-3.051
2025-04-29 20:13:53.839632+00:00,-3.046
2025-04-29 20:08:46.294128+00:00,-3.037
2025-04-29 20:03:37.744989+00:00,-3.028
2025-04-29 19:58:29.202736+00:00,-3.014
2025-04-29 19:53:20.511875+00:00,-2.998
2025-04-29 19:48:11.885946+00:00,-2.992
2025-04-29 19:43:03.293136+00:00,-2.991
2025-04-29 19:37:54.685756+00:00,-2.969
2025-04-29 19:32:45.994494+00:00,-2.956
2025-04-29 19:27:37.432858+00:00,-2.944
2025-04-29 19:22:28.858671+00:00,-2.925
2025-04-29 19:17:15.085043+00:00,-2.915
2025-04-29 19:12:00.351653+00:00,-2.892
2025-04-29 19:06:45.590287+00:00,-2.869
2025-04-29 19:01:30.812912+00:00,-2.856
2025-04-29 18:56:16.298228+00:00,-2.831
2025-04-29 18:51:01.618917+00:00,-2.807
2025-04-29 18:45:53.890697+00:00,-2.786
2025-04-29 18:40:46.287211+00:00,-2.752
2025-04-29 18:35:25.423745+00:00,-2.727
2025-04-29 18:30:04.601124+00:00,-2.694
2025-04-29 18:24:43.663676+00:00,-2.651
2025-04-29 18:19:36.036380+00:00,-2.621
2025-04-29 18:09:14.023378+00:00,-2.535
2025-04-29 18:03:59.316035+00:00,-2.489
2025-04-29 17:58:44.575304+00:00,-2.447
2025-04-29 17:53:29.896589+00:00,-2.399
2025-04-29 17:48:15.184176+00:00,-2.349
2025-04-29 17:43:07.514011+00:00,-2.302
2025-04-29 17:32:50.361688+00:00,-2.212
2025-04-29 17:27:41.640536+00:00,-2.167
2025-04-29 17:22:33.076736+00:00,-2.12
2025-04-29 17:17:24.472632+00:00,-2.067
2025-04-29 17:07:07.334761+00:00,-1.975
2025-04-29 17:01:58.844223+00:00,-1.934
2025-04-29 16:56:50.198968+00:00,-1.89
2025-04-29 16:51:41.756713+00:00,-1.844
2025-04-29 16:46:33.203737+00:00,-1.792
2025-04-29 16:41:24.456672+00:00,-1.754
2025-04-29 16:36:16.013765+00:00,-1.706
2025-04-29 16:31:07.419700+00:00,-1.67
2025-04-29 16:25:58.758004+00:00,-1.625
2025-04-29 16:20:50.451274+00:00,-1.592
2025-04-29 16:15:41.907794+00:00,-1.558
2025-04-29 16:10:34.308425+00:00,-1.52
2025-04-29 16:00:17.464361+00:00,-1.456
2025-04-29 15:55:09.044065+00:00,-1.426
2025-04-29 15:50:00.483400+00:00,-1.393
2025-04-29 15:44:52.904874+00:00,-1.362
2025-04-29 15:39:44.290985+00:00,-1.331
2025-04-29 15:34:35.748677+00:00,-1.301
2025-04-29 15:29:27.343185+00:00,-1.276
2025-04-29 15:24:18.734183+00:00,-1.25
2025-04-29 15:19:10.244156+00:00,-1.226
2025-04-29 15:14:01.646511+00:00,-1.203
2025-04-29 15:08:52.969287+00:00,-1.179
2025-04-29 15:03:44.521109+00:00,-1.156
2025-04-29 14:58:35.963416+00:00,-1.139
2025-04-29 14:53:27.259062+00:00,-1.122
2025-04-29 14:48:18.723166+00:00,-1.112
2025-04-29 14:43:10.215289+00:00,-1.1
2025-04-29 14:38:01.744652+00:00,-1.089
2025-04-29 14:32:53.251871+00:00,-1.075
2025-04-29 14:27:44.731642+00:00,-1.068
2025-04-29 14:22:37.114360+00:00,-1.067
2025-04-29 14:17:28.579256+00:00,-1.07
2025-04-29 14:12:19.874515+00:00,-1.076
2025-04-29 14:07:11.181613+00:00,-1.083
2025-04-29 14:02:02.479864+00:00,-1.093
2025-04-29 13:56:53.933382+00:00,-1.099
2025-04-29 13:51:45.273842+00:00,-1.114
2025-04-29 13:46:36.680371+00:00,-1.131
2025-04-29 13:41:28.085671+00:00,-1.147
2025-04-29 13:36:19.467899+00:00,-1.161
2025-04-29 13:31:10.905146+00:00,-1.175
2025-04-29 13:26:02.244070+00:00,-1.191
2025-04-29 13:20:53.548615+00:00,-1.213
2025-04-29 13:15:44.883877+00:00,-1.237
2025-04-29 13:10:36.235410+00:00,-1.259
2025-04-29 13:05:27.535712+00:00,-1.289
2025-04-29 13:00:19.238617+00:00,-1.311
2025-04-29 12:55:10.590064+00:00,-1.332
2025-04-29 12:50:01.917620+00:00,-1.356
2025-04-29 12:44:53.283241+00:00,-1.376
2025-04-29 12:39:39.606900+00:00,-1.405
2025-04-29 12:34:24.716592+00:00,-1.438
2025-04-29 12:29:09.763580+00:00,-1.474
2025-04-29 12:23:54.972107+00:00,-1.516
2025-04-29 12:18:39.955836+00:00,-1.555
2025-04-29 12:13:32.310206+00:00,-1.593
2025-04-29 12:03:08.427900+00:00,-1.672
2025-04-29 11:57:59.193667+00:00,-1.711
2025-04-29 11:47:41.842512+00:00,-1.794
2025-04-29 11:42:33.139481+00:00,-1.839
2025-04-29 11:37:24.380099+00:00,-1.888
2025-04-29 11:32:15.496077+00:00,-1.935
2025-04-29 11:27:06.730837+00:00,-1.98
2025-04-29 11:21:58.886330+00:00,-2.033
2025-04-29 11:16:50.064755+00:00,-2.084
2025-04-29 11:11:41.231431+00:00,-2.141
2025-04-29 11:06:32.511874+00:00,-2.202
2025-04-29 11:01:23.725707+00:00,-2.262
2025-04-29 10:56:15.222848+00:00,-2.315
2025-04-29 10:51:06.516747+00:00,-2.363
2025-04-29 10:45:58.961311+00:00,-2.415
2025-04-29 10:40:51.340420+00:00,-2.467
2025-04-29 10:35:42.845522+00:00,-2.527
2025-04-29 10:30:34.287128+00:00,-2.581
2025-04-29 10:25:25.653280+00:00,-2.639
2025-04-29 10:20:17.221558+00:00,-2.701
2025-04-29 10:15:08.495629+00:00,-2.766
2025-04-29 10:09:59.858230+00:00,-2.826
2025-04-29 10:04:51.172928+00:00,-2.877
2025-04-29 09:59:42.553761+00:00,-2.925
2025-04-29 09:54:33.910152+00:00,-2.966
2025-04-29 09:44:16.584856+00:00,-3.022
2025-04-29 09:39:08.003025+00:00,-3.017
2025-04-29 09:34:00.422856+00:00,-3.009
2025-04-29 09:28:51.825037+00:00,-3.0
2025-04-29 09:23:43.216440+00:00,-2.994
2025-04-29 09:18:34.574659+00:00,-2.984
2025-04-29 09:13:25.801398+00:00,-2.975
2025-04-29 09:08:17.128504+00:00,-2.966
2025-04-29 09:03:08.507925+00:00,-2.957
2025-04-29 08:57:59.873140+00:00,-2.944
2025-04-29 08:52:52.352641+00:00,-2.935
2025-04-29 08:47:43.783624+00:00,-2.925
2025-04-29 08:42:35.358930+00:00,-2.914
2025-04-29 08:37:26.730714+00:00,-2.906
2025-04-29 08:32:18.057378+00:00,-2.894
2025-04-29 08:27:09.406689+00:00,-2.888
2025-04-29 08:22:00.810822+00:00,-2.877
2025-04-29 08:16:52.369870+00:00,-2.868
2025-04-29 08:11:43.738894+00:00,-2.86
2025-04-29 08:06:35.251008+00:00,-2.85
2025-04-29 08:01:26.521048+00:00,-2.839
2025-04-29 07:56:18.018876+00:00,-2.829
2025-04-29 07:51:09.572610+00:00,-2.818
2025-04-29 07:46:01.016329+00:00,-2.803
2025-04-29 07:40:52.239255+00:00,-2.79
2025-04-29 07:35:43.652256+00:00,-2.775
2025-04-29 07:30:34.946617+00:00,-2.757
2025-04-29 07:25:26.493896+00:00,-2.737
2025-04-29 07:20:17.929823+00:00,-2.715
2025-04-29 07:15:09.251209+00:00,-2.691
2025-04-29 07:10:01.680990+00:00,-2.665
2025-04-29 07:04:47.055725+00:00,-2.636
2025-04-29 06:59:39.470650+00:00,-2.605
2025-04-29 06:54:24.707084+00:00,-2.568
2025-04-29 06:49:09.948990+00:00,-2.534
2025-04-29 06:43:55.290968+00:00,-2.494
2025-04-29 06:38:47.563386+00:00,-2.454
2025-04-29 06:28:30.325388+00:00,-2.371
2025-04-29 06:23:21.551032+00:00,-2.328
2025-04-29 06:18:12.919635+00:00,-2.284
2025-04-29 06:07:55.584698+00:00,-2.196
2025-04-29 06:02:47.020278+00:00,-2.146
2025-04-29 05:57:38.361988+00:00,-2.107
2025-04-29 05:52:29.807562+00:00,-2.059
2025-04-29 05:47:21.290917+00:00,-2.009
2025-04-29 05:42:12.712754+00:00,-1.969
2025-04-29 05:37:04.061029+00:00,-1.915
2025-04-29 05:31:55.429117+00:00,-1.871
2025-04-29 05:26:46.790142+00:00,-1.821
2025-04-29 05:21:38.233147+00:00,-1.775
2025-04-29 05:16:29.535477+00:00,-1.732
2025-04-29 05:11:21.012086+00:00,-1.684
2025-04-29 05:06:12.544282+00:00,-1.64
2025-04-29 05:01:05.044450+00:00,-1.59
2025-04-29 04:55:56.348931+00:00,-1.539
2025-04-29 04:50:47.674171+00:00,-1.493
2025-04-29 04:45:39.173674+00:00,-1.445
2025-04-29 04:40:30.440244+00:00,-1.396
2025-04-29 04:35:22.070177+00:00,-1.354
2025-04-29 04:30:13.567841+00:00,-1.304
2025-04-29 04:25:04.851439+00:00,-1.259
2025-04-29 04:19:56.277054+00:00,-1.214
2025-04-29 04:14:47.734589+00:00,-1.177
2025-04-29 04:09:39.368438+00:00,-1.135
2025-04-29 04:04:30.759833+00:00,-1.094
2025-04-29 03:59:22.171749+00:00,-1.059
2025-04-29 03:54:13.601441+00:00,-1.022
2025-04-29 03:49:04.906901+00:00,-0.99
2025-04-29 03:43:50.009389+00:00,-0.958
2025-04-29 03:38:40.907605+00:00,-0.927
2025-04-29 03:33:32.268310+00:00,-0.897
2025-04-29 03:28:23.733013+00:00,-0.868
2025-04-29 03:23:15.335516+00:00,-0.721
2025-04-29 03:18:07.792550+00:00,-0.721
2025-04-29 03:13:00.278992+00:00,-0.717
2025-04-29 03:07:51.929334+00:00,-0.718
2025-04-29 03:02:43.261040+00:00,-0.716
2025-04-29 02:57:34.761705+00:00,-0.691
2025-04-29 02:52:26.167470+00:00,-0.67
2025-04-29 02:47:17.497175+00:00,-0.642
2025-04-29 02:42:08.861681+00:00,-0.617
2025-04-29 02:37:01.243768+00:00,-0.591
2025-04-29 02:31:52.558185+00:00,-0.567
2025-04-29 02:26:44.027130+00:00,-0.546
2025-04-29 02:21:35.406133+00:00,-0.522
2025-04-29 01:25:02.822903+00:00,-0.516
2025-04-29 01:19:55.294628+00:00,-0.558
2025-04-29 01:14:46.668362+00:00,-0.578
2025-04-29 01:09:38.031239+00:00,-0.614
2025-04-29 01:04:29.458966+00:00,-0.643
