Property Address,Year,Fair Market Value,Sale Price,Acres,Year Built,Latitude,Longitude
37.0 PULASKI ST TYBEE ISLAND GA 31328.0 37 PULASKI ST,2023,1330300.0,0.0,0.15,2003.0,32.024256251684,-80.847242555662
33.0 PULASKI ST TYBEE ISLAND GA 31328.0 33 PULASKI ST,2023,1347300.0,0.0,0.82,1936.0,32.024256251684,-80.847242555662
29.0 PULASKI ST TYBEE ISLAND GA 31328.0 29 PULASKI ST,2023,367400.0,0.0,0.59,1932.0,32.024256251684,-80.847242555662
27.0 PULASKI ST TYBEE ISLAND GA 31328.0 27 PULASKI ST,2023,838600.0,0.0,0.73,1932.0,32.024256251684,-80.847242555662
6.0 NORTHSHORE DR TYBEE ISLAND GA 31328.0 6 NORTHSHORE DR,2023,879500.0,0.0,0.04,1991.0,32.025120371297,-80.848704106343
2.0 NORTHSHORE DR TYBEE ISLAND GA 31328.0 2 NORTHSHORE DR,2023,967500.0,607500.0,0.04,1996.0,32.025120371297,-80.848704106343
5.0 NORTHSHORE DR TYBEE ISLAND GA 31328.0 5 NORTHSHORE DR,2023,760700.0,0.0,0.04,1994.0,32.025120371297,-80.848704106343
3.0 NORTHSHORE DR TYBEE ISLAND GA 31328.0 3 NORTHSHORE DR,2023,1153700.0,1225000.0,0.04,1995.0,32.025120371297,-80.848704106343
1.0 NORTHSHORE DR TYBEE ISLAND GA 31328.0 1 NORTHSHORE DR,2023,627900.0,0.0,0.04,1994.0,32.025120371297,-80.848704106343
19.0 PULASKI ST TYBEE ISLAND GA 31328.0 19 PULASKI ST,2023,1701400.0,0.0,0.34,1974.0,32.024256251684,-80.847242555662
16.0 TAYLOR ST TYBEE ISLAND GA 31328.0 16 TAYLOR ST,2023,1955300.0,0.0,0.31,2008.0,32.023342946718,-80.847239249449
21.0 PULASKI ST TYBEE ISLAND GA 31328.0 21 PULASKI ST,2023,1094400.0,1200000.0,0.28,2019.0,32.024256251684,-80.847242555662
29.0 TAYLOR ST TYBEE ISLAND GA 31328.0 29 TAYLOR ST,2023,1317100.0,1273000.0,0.25,1997.0,32.023342946718,-80.847239249449
27.0 TAYLOR ST TYBEE ISLAND GA 31328.0 27 TAYLOR ST,2023,787500.0,0.0,0.25,1999.0,32.023342946718,-80.847239249449
106.0 GEN GEORGE MARSHALL BLVD TYBEE ISLAND GA 31328.0 106 GEN GEORGE MARSHALL BLVD,2023,1120200.0,250000.0,0.28,2020.0,32.022202573631,-80.846891201988
102.0 GEN GEORGE MARSHALL BLVD TYBEE ISLAND GA 31328.0 102 GEN GEORGE MARSHALL BLVD,2023,1660000.0,0.0,0.28,2006.0,32.022202573631,-80.846891201988
103.0 GEN GEORGE MARSHALL BLVD TYBEE ISLAND GA 31328.0 103 GEN GEORGE MARSHALL BLVD,2023,1062900.0,0.0,0.28,2000.0,32.022202573631,-80.846891201988
105.0 GEN GEORGE MARSHALL BLVD TYBEE ISLAND GA 31328.0 105 GEN GEORGE MARSHALL BLVD,2023,993300.0,525000.0,0.28,2000.0,32.022202573631,-80.846891201988
107.0 GEN GEORGE MARSHALL BLVD TYBEE ISLAND GA 31328.0 107 GEN GEORGE MARSHALL BLVD,2023,793700.0,0.0,0.28,2000.0,32.022202573631,-80.846891201988
109.0 GEN GEORGE MARSHALL BLVD TYBEE ISLAND GA 31328.0 109 GEN GEORGE MARSHALL BLVD,2023,1004400.0,725000.0,0.28,2000.0,32.022202573631,-80.846891201988
111.0 GEN GEORGE MARSHALL BLVD TYBEE ISLAND GA 31328.0 111 GEN GEORGE MARSHALL BLVD,2023,946300.0,1110000.0,0.28,1999.0,32.022202573631,-80.846891201988
113.0 GEN GEORGE MARSHALL BLVD TYBEE ISLAND GA 31328.0 113 GEN GEORGE MARSHALL BLVD,2023,1074000.0,1000000.0,0.28,2003.0,32.022202573631,-80.846891201988
